"Name","FileName","StartFrame","EndFrame","FaceFreezeFrame","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Priority"
"string","string","int","int","int","int","int","int","int","boolean","string"
"8bitAttack","8bit_attack.scw",1,5,,,50,,,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"8bitIdle","8bit_idle.scw",1,29,,,100,100,,"TRUE",
"8bitLose","8bit_lose.scw",1,99,,,,,,,
"8bitLoseloop","8bit_lose.scw",100,139,,,,,,"TRUE",
"8bitProfile","8bit_base_cam.scw",1,1,,,,,,"TRUE",
"8bitPushback","8bit_pushback.scw",,-1,,,50,100,200,,
"8bitRecoil","8bit_attack.scw",5,-1,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"8bitReload","8bit_reload.scw",,13,,,,,150,,"hips_s#1+L_upperLeg_s#0+R_upperLeg_s#0+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4+R_clavicle_s#0+R_shoulder_s#0+R_elbow_s#0"
"8bitTurretIdle","8bit_turret_idle.scw",,-1,,,,,,"TRUE",
"8bitTurretSpawn","8bit_turret_spawn.scw",,-1,,,,,,"TRUE",
"8bitVirusAttack","8bit_virus_attack.scw",1,5,,,50,,,,"hips_s#4+L_front_leg_01_s#0+R_front_leg_01_s#0+L_back_leg_01_s#0+R_back_leg_01_s#0"
"8bitVirusIdle","8bit_virus_idle.scw",1,29,,,100,100,,"TRUE",
"8bitVirusLose","8bit_virus_lose.scw",1,99,,,,,,,
"8bitVirusLoseloop","8bit_virus_lose.scw",100,139,,,,,,"TRUE",
"8bitVirusProfile","8bit_virus_portrait.scw",,-1,,,,,,,
"8bitVirusPushback","8bit_pushback.scw",,-1,,,50,100,200,,
"8bitVirusRecoil","8bit_virus_attack.scw",5,-1,,,,,250,,"hips_s#5+L_front_leg_01_s#0+R_front_leg_01_s#0+L_back_leg_01_s#0+R_back_leg_01_s#0"
"8bitVirusReload","8bit_virus_reload.scw",,13,,,,,150,,"hips_s#1+L_front_leg_01_s#0+R_front_leg_01_s#0+L_back_leg_01_s#0+R_back_leg_01_s#0+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4+R_clavicle_s#0+R_shoulder_s#0+R_elbow_s#0"
"8BitVirusWalk","8bit_virus_walk.scw",1,20,,110,100,100,,"TRUE",1
"8bitVirusWin","8bit_virus_win.scw",1,127,,,,,,,
"8bitVirusWinloop","8bit_virus_win.scw",128,157,,,,,,"TRUE",
